Date,Primary Type,Location Description,Arrest,Year,Month
2022-05-12,Assault,Gas Station,False,2022,5
2023-05-28,Assault,Gas Station,True,2023,5
2019-02-05,Vandalism,Bar,False,2019,2
2021-10-29,Drug Possession,Highway,False,2021,10
2018-02-13,Vandalism,Park,False,2018,2
2015-09-11,Vandalism,Street,True,2015,9
2023-11-17,Drug Possession,Mall,True,2023,11
2017-05-03,Assault,Bank,True,2017,5
2015-06-10,Vandalism,Gas Station,False,2015,6
2021-04-28,Robbery,Home,True,2021,4
2015-07-28,Homicide,School,False,2015,7
2023-11-29,Burglary,Highway,False,2023,11
2023-12-08,Robbery,School,False,2023,12
2015-01-03,Burglary,Gas Station,True,2015,1
2016-07-17,Arson,Highway,False,2016,7
2018-07-31,Robbery,Apartment,True,2018,7
2016-02-14,Vandalism,Home,True,2016,2
2024-06-11,Theft,Bar,False,2024,6
2017-11-15,Burglary,Mall,False,2017,11
2021-01-06,Arson,Home,True,2021,1
2022-10-14,Burglary,Apartment,False,2022,10
2015-05-14,Drug Possession,Home,False,2015,5
2015-02-26,Vandalism,School,False,2015,2
2022-09-25,Arson,Mall,True,2022,9
2016-08-17,Burglary,Park,True,2016,8
2015-03-03,Vandalism,Bank,True,2015,3
2024-09-18,Burglary,Bar,False,2024,9
2017-09-24,Assault,Home,False,2017,9
2023-08-13,Homicide,Home,False,2023,8
2018-04-11,Homicide,Home,False,2018,4
2023-05-12,Robbery,Street,True,2023,5
2020-01-24,Fraud,Street,False,2020,1
2015-05-19,Robbery,Bank,True,2015,5
2023-09-19,Assault,Street,False,2023,9
2016-07-23,Fraud,Bar,False,2016,7
2019-11-20,Homicide,Home,False,2019,11
2021-10-26,Arson,Apartment,True,2021,10
2024-10-04,Fraud,Mall,True,2024,10
2023-04-21,Robbery,Apartment,False,2023,4
2021-04-05,Assault,Home,True,2021,4
2021-05-13,Assault,Apartment,False,2021,5
2020-11-29,Arson,Park,False,2020,11
2019-06-10,Arson,Apartment,False,2019,6
2020-07-26,Robbery,Bank,False,2020,7
2021-05-10,Homicide,Bank,False,2021,5
2018-09-23,Burglary,Gas Station,False,2018,9
2023-08-11,Vandalism,Apartment,True,2023,8
2018-11-24,Theft,Highway,False,2018,11
2024-06-08,Theft,Highway,True,2024,6
2018-09-17,Burglary,Highway,False,2018,9
2021-04-25,Assault,School,False,2021,4
2018-10-17,Homicide,Mall,False,2018,10
2021-05-21,Robbery,Park,True,2021,5
2023-12-30,Assault,Bar,False,2023,12
2017-05-17,Fraud,Home,False,2017,5
2024-02-19,Vandalism,Bank,True,2024,2
2019-11-05,Theft,Mall,False,2019,11
2022-08-08,Arson,Home,False,2022,8
2019-11-04,Homicide,Street,False,2019,11
2019-06-03,Drug Possession,Home,False,2019,6
2023-07-05,Homicide,Highway,True,2023,7
2016-01-26,Arson,Apartment,False,2016,1
2015-09-20,Assault,Mall,False,2015,9
2017-08-13,Burglary,Gas Station,True,2017,8
2019-10-06,Drug Possession,Bank,True,2019,10
2023-08-17,Vandalism,Apartment,False,2023,8
2022-03-28,Fraud,Bar,False,2022,3
2019-06-19,Burglary,Street,False,2019,6
2021-04-03,Homicide,Highway,False,2021,4
2016-12-20,Drug Possession,Highway,False,2016,12
2024-03-22,Homicide,Bar,False,2024,3
2019-10-29,Fraud,Bank,True,2019,10
2022-12-28,Robbery,School,True,2022,12
2020-02-08,Assault,Highway,False,2020,2
2018-07-12,Burglary,Gas Station,True,2018,7
2015-04-13,Assault,Bar,False,2015,4
2017-09-01,Burglary,Gas Station,True,2017,9
2017-11-07,Vandalism,Apartment,True,2017,11
2022-11-13,Robbery,Home,False,2022,11
2024-02-27,Vandalism,School,True,2024,2
2015-06-08,Vandalism,Apartment,True,2015,6
2024-04-05,Assault,School,True,2024,4
2018-03-01,Burglary,Park,True,2018,3
2018-01-08,Theft,Bar,False,2018,1
2015-01-20,Assault,Bank,True,2015,1
2020-01-29,Vandalism,Bank,False,2020,1
2015-01-31,Burglary,Mall,False,2015,1
2018-03-05,Robbery,Home,False,2018,3
2023-04-04,Assault,Bank,False,2023,4
2018-01-29,Assault,Apartment,False,2018,1
2022-04-21,Fraud,Bar,True,2022,4
2015-09-24,Vandalism,Mall,False,2015,9
2021-04-14,Arson,Street,False,2021,4
2019-09-20,Theft,Apartment,False,2019,9
2023-01-04,Arson,Mall,False,2023,1
2023-11-09,Vandalism,Home,False,2023,11
2020-07-28,Homicide,Park,True,2020,7
2019-07-02,Homicide,Mall,False,2019,7
2016-08-13,Homicide,Park,False,2016,8
2019-05-13,Robbery,Home,True,2019,5
2017-12-17,Theft,Home,False,2017,12
2018-04-07,Homicide,Gas Station,True,2018,4
2017-06-25,Vandalism,Apartment,True,2017,6
2016-03-21,Vandalism,Highway,False,2016,3
2015-03-09,Assault,Street,False,2015,3
2019-02-07,Drug Possession,Bank,False,2019,2
2017-10-16,Fraud,Apartment,False,2017,10
2023-02-01,Assault,Bank,False,2023,2
2018-09-14,Assault,Home,False,2018,9
2018-07-05,Theft,Gas Station,False,2018,7
2017-02-08,Burglary,Bank,False,2017,2
2016-08-13,Arson,Bar,True,2016,8
2020-10-31,Vandalism,Apartment,False,2020,10
2022-03-22,Robbery,Apartment,False,2022,3
2020-09-28,Burglary,Apartment,False,2020,9
2015-03-21,Arson,Bar,True,2015,3
2022-06-01,Burglary,Home,False,2022,6
2019-07-05,Burglary,Park,True,2019,7
2017-08-16,Arson,Gas Station,False,2017,8
2024-05-16,Theft,Apartment,False,2024,5
2020-03-13,Fraud,Bank,False,2020,3
2015-08-02,Fraud,Park,True,2015,8
2023-03-26,Robbery,Street,True,2023,3
2021-11-02,Fraud,Home,True,2021,11
2018-04-28,Robbery,Gas Station,True,2018,4
2024-06-24,Fraud,Bar,False,2024,6
2024-08-15,Vandalism,Street,True,2024,8
2020-03-19,Drug Possession,Park,True,2020,3
2021-04-12,Vandalism,Park,True,2021,4
2024-12-10,Vandalism,Highway,False,2024,12
2017-02-19,Homicide,Bar,True,2017,2
2016-05-23,Vandalism,Mall,False,2016,5
2016-12-26,Homicide,Park,True,2016,12
2019-09-07,Robbery,Bar,False,2019,9
2024-08-19,Drug Possession,Home,False,2024,8
2024-05-18,Arson,Gas Station,False,2024,5
2020-04-12,Arson,School,False,2020,4
2018-01-12,Theft,Street,False,2018,1
2015-05-25,Vandalism,Home,False,2015,5
2020-05-02,Burglary,Gas Station,False,2020,5
2017-11-09,Robbery,Mall,False,2017,11
2017-10-17,Assault,School,True,2017,10
2018-09-03,Arson,Apartment,True,2018,9
2024-04-08,Fraud,Apartment,False,2024,4
2023-11-09,Robbery,Park,False,2023,11
2016-05-28,Assault,School,False,2016,5
2024-05-14,Vandalism,Bank,False,2024,5
2018-03-07,Theft,Park,True,2018,3
2024-07-08,Fraud,Park,True,2024,7
2017-09-06,Theft,Highway,False,2017,9
2021-07-14,Homicide,School,True,2021,7
2018-03-21,Drug Possession,Highway,False,2018,3
2024-06-17,Robbery,Park,True,2024,6
2019-04-11,Fraud,Apartment,True,2019,4
2020-03-31,Homicide,Bank,True,2020,3
2023-10-14,Robbery,Bar,False,2023,10
2015-12-05,Homicide,Park,False,2015,12
2018-12-10,Vandalism,Bank,False,2018,12
2018-12-13,Drug Possession,Mall,False,2018,12
2018-07-08,Theft,Park,False,2018,7
2020-03-14,Homicide,Apartment,False,2020,3
2020-06-05,Assault,Bank,False,2020,6
2018-04-28,Robbery,Home,False,2018,4
2022-01-10,Vandalism,Highway,False,2022,1
2018-05-16,Fraud,Home,False,2018,5
2017-10-30,Robbery,Bar,False,2017,10
2017-02-12,Robbery,Park,False,2017,2
2023-10-14,Robbery,Apartment,False,2023,10
2015-06-02,Burglary,Gas Station,False,2015,6
2022-12-28,Robbery,Highway,False,2022,12
2024-02-01,Arson,Bar,False,2024,2
2023-08-23,Assault,Bar,False,2023,8
2023-04-30,Fraud,Park,True,2023,4
2016-07-07,Burglary,Mall,True,2016,7
2017-09-12,Assault,Bank,True,2017,9
2018-10-14,Arson,Highway,False,2018,10
2015-09-28,Fraud,Home,False,2015,9
2022-08-04,Assault,Apartment,False,2022,8
2023-03-22,Burglary,School,False,2023,3
2021-10-27,Robbery,Apartment,False,2021,10
2024-06-11,Fraud,Apartment,False,2024,6
2022-11-16,Fraud,School,True,2022,11
2024-03-01,Vandalism,Highway,False,2024,3
2015-03-12,Assault,Street,False,2015,3
2021-05-26,Fraud,Street,False,2021,5
2016-07-22,Theft,Mall,True,2016,7
2020-01-08,Drug Possession,Street,False,2020,1
2022-06-18,Homicide,Highway,False,2022,6
2016-11-19,Vandalism,Street,False,2016,11
2020-11-13,Vandalism,School,False,2020,11
2019-01-13,Assault,Highway,False,2019,1
2023-06-09,Drug Possession,Home,True,2023,6
2021-05-19,Homicide,Highway,False,2021,5
2020-11-24,Fraud,Home,True,2020,11
2021-02-16,Theft,Gas Station,True,2021,2
2019-01-04,Theft,School,False,2019,1
2019-01-23,Arson,Highway,True,2019,1
2020-02-14,Arson,Apartment,False,2020,2
2023-12-27,Vandalism,Gas Station,False,2023,12
2018-08-05,Fraud,Home,False,2018,8
2021-07-11,Theft,Home,True,2021,7
2016-02-06,Burglary,Park,False,2016,2
2018-12-02,Fraud,Bar,False,2018,12
2023-09-09,Vandalism,Bank,True,2023,9
2018-12-06,Homicide,Highway,False,2018,12
2017-09-01,Assault,Street,False,2017,9
2018-09-05,Homicide,Park,False,2018,9
2024-11-17,Robbery,Mall,False,2024,11
2019-11-30,Fraud,Apartment,True,2019,11
2021-09-29,Robbery,School,False,2021,9
2023-11-12,Theft,Bank,False,2023,11
2019-09-16,Fraud,Mall,False,2019,9
2018-03-16,Theft,Park,False,2018,3
2019-06-18,Drug Possession,Apartment,False,2019,6
2015-09-05,Robbery,Bank,True,2015,9
2015-04-22,Arson,Mall,False,2015,4
2021-09-07,Assault,Street,False,2021,9
2024-02-07,Fraud,Gas Station,False,2024,2
2021-07-04,Burglary,Home,True,2021,7
2023-05-21,Assault,Highway,False,2023,5
2017-08-03,Burglary,Bank,True,2017,8
2022-07-12,Robbery,School,False,2022,7
2021-01-14,Vandalism,Home,False,2021,1
2016-09-26,Theft,Gas Station,False,2016,9
2023-02-16,Burglary,Mall,False,2023,2
2021-02-26,Homicide,Street,True,2021,2
2019-01-14,Burglary,Bar,True,2019,1
2019-08-16,Burglary,Home,True,2019,8
2020-06-12,Robbery,Home,False,2020,6
2021-08-09,Robbery,Park,False,2021,8
2015-03-20,Homicide,Street,False,2015,3
2016-09-22,Drug Possession,Apartment,False,2016,9
2024-10-15,Drug Possession,Gas Station,True,2024,10
2023-06-21,Burglary,Gas Station,True,2023,6
2021-07-15,Fraud,Park,False,2021,7
2021-01-30,Burglary,Street,True,2021,1
2024-12-07,Theft,Highway,False,2024,12
2021-01-24,Fraud,Bank,False,2021,1
2022-10-05,Fraud,Gas Station,True,2022,10
2021-10-14,Theft,School,False,2021,10
2020-10-04,Arson,Home,False,2020,10
2022-07-30,Arson,Bar,True,2022,7
2023-10-27,Assault,Gas Station,False,2023,10
2015-06-04,Fraud,Bank,False,2015,6
2020-05-11,Robbery,Home,False,2020,5
2017-06-21,Theft,Park,False,2017,6
2017-05-02,Assault,Bar,True,2017,5
2022-07-23,Burglary,Gas Station,False,2022,7
2023-07-25,Arson,Street,False,2023,7
2022-10-26,Fraud,Bank,True,2022,10
2017-10-01,Theft,Street,True,2017,10
2019-11-27,Burglary,Home,False,2019,11
2019-12-08,Drug Possession,Apartment,True,2019,12
2019-02-13,Arson,Bank,False,2019,2
2018-05-20,Arson,Highway,False,2018,5
2023-04-12,Homicide,Street,False,2023,4
2016-01-31,Robbery,Bank,False,2016,1
2019-08-23,Vandalism,Home,False,2019,8
2020-06-17,Assault,Bank,True,2020,6
2016-07-21,Homicide,Park,False,2016,7
2017-02-04,Theft,Bank,True,2017,2
2018-10-03,Burglary,Apartment,True,2018,10
2016-01-26,Robbery,Mall,False,2016,1
2021-07-25,Theft,Home,False,2021,7
2015-12-14,Theft,Bank,True,2015,12
2015-04-13,Vandalism,Street,False,2015,4
2021-06-01,Fraud,Home,False,2021,6
2020-02-24,Assault,Apartment,False,2020,2
2015-09-08,Vandalism,Highway,False,2015,9
2024-11-02,Assault,Mall,False,2024,11
2018-12-20,Arson,School,False,2018,12
2018-04-22,Robbery,Park,False,2018,4
2021-04-19,Assault,Apartment,False,2021,4
2017-03-28,Burglary,Park,False,2017,3
2021-02-10,Theft,Street,True,2021,2
2023-11-23,Arson,Mall,False,2023,11
2016-09-02,Arson,Apartment,False,2016,9
2022-12-20,Theft,Highway,True,2022,12
2024-10-11,Fraud,Mall,True,2024,10
2019-05-09,Arson,Mall,True,2019,5
2021-12-23,Fraud,Park,False,2021,12
2018-09-29,Vandalism,Park,False,2018,9
2020-05-14,Robbery,Street,True,2020,5
2019-07-09,Theft,Park,True,2019,7
2021-12-20,Fraud,Bar,False,2021,12
2023-11-05,Fraud,Highway,False,2023,11
2024-05-23,Homicide,Gas Station,False,2024,5
2018-06-07,Robbery,Highway,False,2018,6
2018-04-26,Burglary,Home,True,2018,4
2018-03-06,Robbery,Highway,False,2018,3
2017-11-15,Homicide,School,True,2017,11
2021-07-15,Arson,Street,False,2021,7
2022-06-07,Vandalism,Gas Station,False,2022,6
2022-05-16,Burglary,Apartment,False,2022,5
2015-03-14,Vandalism,Apartment,False,2015,3
2018-11-26,Vandalism,Bar,True,2018,11
2021-02-14,Burglary,Bar,False,2021,2
2023-10-29,Drug Possession,Apartment,False,2023,10
2016-07-02,Arson,Apartment,False,2016,7
2023-02-01,Arson,School,False,2023,2
2018-06-22,Assault,Park,False,2018,6
2021-06-03,Vandalism,Highway,False,2021,6
2015-05-12,Arson,Mall,True,2015,5
2019-11-10,Arson,Bar,False,2019,11
2022-04-28,Fraud,School,False,2022,4
2017-12-08,Theft,Home,False,2017,12
2016-08-18,Vandalism,Park,False,2016,8
2022-11-03,Homicide,Bar,False,2022,11
2020-03-06,Homicide,Park,False,2020,3
2024-01-29,Vandalism,Home,False,2024,1
2018-09-05,Homicide,School,False,2018,9
2022-07-26,Arson,Gas Station,True,2022,7
2024-01-30,Assault,Mall,False,2024,1
2016-11-22,Burglary,Mall,False,2016,11
2018-10-01,Arson,Street,False,2018,10
2020-03-11,Theft,Home,False,2020,3
2024-10-05,Drug Possession,Mall,False,2024,10
2021-06-18,Robbery,Home,False,2021,6
2022-04-11,Vandalism,Apartment,True,2022,4
2022-09-23,Robbery,Bar,False,2022,9
2023-05-11,Fraud,Gas Station,True,2023,5
2022-12-04,Homicide,Bar,True,2022,12
2022-12-11,Arson,Highway,False,2022,12
2017-11-27,Homicide,Bar,False,2017,11
2018-09-20,Drug Possession,Bank,False,2018,9
2015-03-07,Arson,Apartment,False,2015,3
2015-09-10,Homicide,Park,False,2015,9
2016-08-26,Burglary,School,False,2016,8
2017-01-07,Drug Possession,Mall,False,2017,1
2021-09-08,Assault,Street,False,2021,9
2015-06-13,Homicide,Bar,False,2015,6
2022-11-14,Robbery,Home,False,2022,11
2022-03-31,Burglary,School,False,2022,3
2020-01-05,Assault,Highway,False,2020,1
2024-12-18,Robbery,Bank,False,2024,12
2022-06-10,Robbery,Mall,False,2022,6
2020-12-27,Robbery,Bank,False,2020,12
2016-07-23,Assault,Park,True,2016,7
2024-09-27,Arson,Gas Station,False,2024,9
2019-02-18,Fraud,Home,False,2019,2
2024-04-29,Burglary,Mall,False,2024,4
2024-02-06,Burglary,Street,True,2024,2
2019-07-25,Assault,School,False,2019,7
2016-01-03,Assault,Gas Station,True,2016,1
2017-05-10,Burglary,Bank,False,2017,5
2023-04-17,Homicide,Gas Station,False,2023,4
2016-09-25,Arson,Street,False,2016,9
2020-12-01,Drug Possession,Gas Station,False,2020,12
2018-06-29,Vandalism,Bank,False,2018,6
2024-02-04,Vandalism,Gas Station,False,2024,2
2021-10-10,Arson,Gas Station,True,2021,10
2017-10-17,Assault,Home,False,2017,10
2023-10-29,Assault,Home,False,2023,10
2017-10-20,Burglary,Gas Station,False,2017,10
2021-08-12,Robbery,School,True,2021,8
2024-12-31,Drug Possession,Mall,False,2024,12
2018-05-30,Homicide,Gas Station,False,2018,5
2023-07-20,Theft,Gas Station,False,2023,7
2015-03-20,Burglary,Street,False,2015,3
2015-12-10,Assault,School,False,2015,12
2023-02-13,Fraud,Home,True,2023,2
2017-12-15,Vandalism,Home,False,2017,12
2023-11-30,Theft,Home,False,2023,11
2017-04-30,Robbery,Bar,False,2017,4
2017-12-04,Fraud,Apartment,False,2017,12
2017-12-07,Drug Possession,School,False,2017,12
2017-05-16,Vandalism,Street,False,2017,5
2024-10-23,Arson,Gas Station,False,2024,10
2018-04-04,Vandalism,Home,False,2018,4
2019-05-06,Drug Possession,School,True,2019,5
2022-05-10,Fraud,Park,True,2022,5
2023-09-21,Burglary,Street,True,2023,9
2016-07-04,Fraud,Highway,False,2016,7
2016-04-25,Arson,Street,True,2016,4
2015-06-26,Theft,Street,False,2015,6
2019-03-15,Homicide,Street,True,2019,3
2022-12-13,Robbery,Bar,False,2022,12
2016-10-23,Assault,Mall,False,2016,10
